id,version,split,source_dataset,source_platform,source_video_id,source_url,video_available_at_release,availability_checked_utc,clip_start_sec,clip_end_sec,clip_duration_sec,temporal_certificate_start_sec,temporal_certificate_end_sec,temporal_certificate_duration_sec,raw_clip_range,raw_temporal_certificate,question_text,question_type,choice_a,choice_b,choice_c,choice_d,choice_e,min_fps,min_required_frames_for_certificate,native_fps,task_category,visual_domain,visual_domain_fine,visual_subdomain,source_video_category,original_row_id
fpsbench_000010,1.0.0,test,youtube8m,youtube,JibIkpFElgc,https://www.youtube.com/watch?v=JibIkpFElgc,,,0.0,6.0,6.0,0.0,6.0,6.0,0:00 - 0:06,0:00-0:06,What is the order of the actions by the player holding the ball in the video?,action_order,"Cross over, between the legs, cross over, drive, layup","Cross over, cross over, between the legs cross over, drive, layup","between the legs cross over, cross over, cross over, drive, layup","cross over, drive, between the legs cross over, cross over, layup",None of the above,5,30,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,10
fpsbench_000011,1.0.0,test,youtube8m,youtube,I6DqZclDMnM,https://www.youtube.com/watch?v=I6DqZclDMnM,,,85.0,100.0,15.0,93.0,96.0,3.0,1:25-1:40,1:33-1:36,How many times does the audience member hit the blue thundersticks against each other?,instance_count,3,4,5,6,None of the above,25,75,,instance_count,Sports & Fitness,Sports & Fitness,Individual Sports,Tennis,11
fpsbench_000012,1.0.0,test,youtube8m,youtube,nbGe5nRySBI,https://www.youtube.com/watch?v=nbGe5nRySBI,,,16.0,23.0,7.0,20.0,22.0,2.0,0:16-0:23,0:20-0:22,What direction was the jetski traveling before being occluded by the big wave?,blink_and_miss,Left,Right,Straight,Backward,None of the above,7,14,,blink_and_miss,Sports & Fitness,Sports & Fitness,Fitness & Recreation,Jet Ski,12
fpsbench_000013,1.0.0,test,youtube8m,youtube,Icq7igCMXQY,https://www.youtube.com/watch?v=Icq7igCMXQY,,,45.0,53.0,8.0,46.0,48.0,2.0,0:45-0:53,0:46-0:48,What is the motion of the fighter's left hand when he kicks for the first time?,state_at_event,He swings his hand upward,He swings his hand out to the side,He swings his hand downward,He swings his hand inward,None of the above,5,10,,state_at_event,Sports & Fitness,Sports & Fitness,Individual Sports,Boxing,13
fpsbench_000014,1.0.0,test,youtube8m,youtube,FiTV85u7de8,https://www.youtube.com/watch?v=FiTV85u7de8,,,24.0,30.0,6.0,27.0,30.0,3.0,0:24-0:30,0:27-0:30,Which foot did the player use to pass the ball to their teammate?,fine_grained_motion,Left,Right,They did not pass,Head,None of the above,15,45,,fine_grained_motion,Sports & Fitness,Sports & Fitness,Team Sports,Football,14
fpsbench_000015,1.0.0,test,youtube8m,youtube,XOSmfoDeVKQ,https://www.youtube.com/watch?v=XOSmfoDeVKQ,,,87.0,92.0,5.0,87.0,92.0,5.0,1:27-1:32,1:27-1:32,How many times does the person clap?,repetitive_motion,10,12,8,14,None of the above,7,35,,repetitive_motion,Sports & Fitness,Sports & Fitness,Team Sports,Football,15
fpsbench_000016,1.0.0,test,youtube8m,youtube,j5L7p8aumxk,https://www.youtube.com/watch?v=j5L7p8aumxk,,,30.0,38.0,8.0,34.0,36.0,2.0,0:30-0:38,0:34-0:36,How did the player in white near the goal strike the ball?,fine_grained_motion,With their left foot,With their right foot,With their chest,With their head,None of the above,5,10,,fine_grained_motion,Sports & Fitness,Sports & Fitness,Team Sports,Football,16
fpsbench_000017,1.0.0,test,youtube8m,youtube,H50e7FgcsQE,https://www.youtube.com/watch?v=H50e7FgcsQE,,,20.0,26.0,6.0,20.0,24.0,4.0,0:20-0:26,0:20-0:24,How many times does the woman spin?,repetitive_motion,3,4,5,6,None of the above,5,20,,repetitive_motion,Sports & Fitness,Sports & Fitness,Individual Sports,Gymnastics,17
fpsbench_000018,1.0.0,test,youtube8m,youtube,Icq7igCMXQY,https://www.youtube.com/watch?v=Icq7igCMXQY,,,60.0,67.0,7.0,60.0,63.0,3.0,1:00-1:07,1:00-1:03,What is the motion of the fighter's left hand when he kicks the first time?,state_at_event,He swings his hand upward,He swings his hand out to the side,He swings his hand downward,He swings his hand inward,None of the above,5,15,,state_at_event,Sports & Fitness,Sports & Fitness,Individual Sports,Boxing,18
fpsbench_000019,1.0.0,test,youtube8m,youtube,-V5vSJe67Gg,https://www.youtube.com/watch?v=-V5vSJe67Gg,,,40.0,53.0,13.0,40.0,53.0,13.0,0:40-0:53,0:40-0:53,Which action is not done by the man on stage?,fine_grained_motion,Blink with both eyes,Shake his head,Point at himself,Blink with one eye,None of the above,7,91,,fine_grained_motion,Media & Entertainment,Media & Entertainment,Film & Animation,Comedy,19
fpsbench_000020,1.0.0,test,youtube8m,youtube,Icq7igCMXQY,https://www.youtube.com/watch?v=Icq7igCMXQY,,,63.0,72.0,9.0,66.0,69.0,3.0,1:03-1:12,1:06-1:09,What is the motion of the fighter's left hand when he kicks the first time?,state_at_event,He swings his hand upward,He swings his hand out to the side,He swings his hand downward,He swings his hand inward,None of the above,6,18,,state_at_event,Sports & Fitness,Sports & Fitness,Individual Sports,Boxing,20
fpsbench_000021,1.0.0,test,youtube8m,youtube,TZyq3Pk1gO8,https://www.youtube.com/watch?v=TZyq3Pk1gO8,,,54.0,58.0,4.0,55.0,57.0,2.0,0:54-0:58,0:55-0:57,"When the boxer dodges to his right, how does his left hand move?",state_at_event,He swings his hand upward,He swings his hand out to the side,He swings his hand downward,He swings his hand inward,None of the above,5,10,,state_at_event,Sports & Fitness,Sports & Fitness,Individual Sports,Boxing,21
fpsbench_000022,1.0.0,test,youtube8m,youtube,oBRDevgcjEg,https://www.youtube.com/watch?v=oBRDevgcjEg,,,29.0,36.0,7.0,29.0,31.0,2.0,0:29-0:36,0:29-0:31,How many dribbles are made in this possession?,instance_count,0,1,2,3,None of the above,7,14,,instance_count,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,22
fpsbench_000023,1.0.0,test,youtube8m,youtube,oBRDevgcjEg,https://www.youtube.com/watch?v=oBRDevgcjEg,,,49.0,56.0,7.0,49.0,56.0,7.0,0:49-0:56,0:49-0:56,What is the order of actions in this video?,action_order,"Dribble, Dribble, Crossover, Dribble, Dribble, Shoot","Cross over, Dribble, Dribble, Dribble, Dribble, Shoot","Dribble, Cross over, Dribble, Dribble, Dribble, Shoot","Dribble, Dribble, Dribble, Crossover, Shoot",None of the above,9,63,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,23
fpsbench_000024,1.0.0,test,youtube8m,youtube,PZ8BVTiJsWU,https://www.youtube.com/watch?v=PZ8BVTiJsWU,,,26.0,33.0,7.0,26.0,32.0,6.0,0:26-0:33,0:26-0:32,How many passes are made?,repetitive_motion,2,3,4,5,None of the above,12,72,,repetitive_motion,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,24
fpsbench_000025,1.0.0,test,youtube8m,youtube,7t3mp15KeOQ,https://www.youtube.com/watch?v=7t3mp15KeOQ,,,20.0,26.0,6.0,21.0,22.0,1.0,0:20-0:26,0:21-0:22,Does the drummer hit the crash cymbal on his left?,blink_and_miss,"Yes, just once",No,"Yes, multiple times",There is no crash cymbal,None of the above,7,7,,blink_and_miss,Media & Entertainment,Media & Entertainment,Music,Drums,25
fpsbench_000026,1.0.0,test,youtube8m,youtube,fw_tmJPo-AQ,https://www.youtube.com/watch?v=fw_tmJPo-AQ,,,16.0,26.0,10.0,18.0,21.0,3.0,0:16-0:26,0:18-0:21,"How does the drummer move his head, if at all, when he hits the crash cymbal?",state_at_event,He nods,He shakes his head,"He moves his head backwards, then forwards",He does not move his head,None of the above,6,18,,state_at_event,Media & Entertainment,Media & Entertainment,Music,Drums,26
fpsbench_000027,1.0.0,test,youtube8m,youtube,QWJiSq4rnqQ,https://www.youtube.com/watch?v=QWJiSq4rnqQ,,,3.0,8.0,5.0,4.0,7.0,3.0,0:03-0:08,0:04-0:07,How many hops does the gummy bear make?,repetitive_motion,4,5,6,7,None of the above,7,21,,repetitive_motion,Media & Entertainment,Media & Entertainment,Film & Animation,Cartoon,27
fpsbench_000028,1.0.0,test,youtube8m,youtube,QWJiSq4rnqQ,https://www.youtube.com/watch?v=QWJiSq4rnqQ,,,90.0,94.0,4.0,90.0,94.0,4.0,1:30-1:34,1:30-1:34,Does the gummy bear blink?,blink_and_miss,"Yes, just once",No,"Yes, multiple times","No, but it winks",None of the above,25,100,,blink_and_miss,Media & Entertainment,Media & Entertainment,Film & Animation,Cartoon,28
fpsbench_000029,1.0.0,test,youtube8m,youtube,fw_tmJPo-AQ,https://www.youtube.com/watch?v=fw_tmJPo-AQ,,,80.0,83.0,3.0,81.0,83.0,2.0,1:20-1:23,1:21-1:23,"How does the drummer move his head, if at all, when he hits the cymbal?",state_at_event,He nods,He shakes his head,"He moves his head backwards, then forwards",He does not move his head,None of the above,8,16,,state_at_event,Media & Entertainment,Media & Entertainment,Music,Drums,29
fpsbench_000030,1.0.0,test,youtube8m,youtube,l96gOq1EKKc,https://www.youtube.com/watch?v=l96gOq1EKKc,,,0.0,7.0,7.0,1.0,5.0,4.0,0:00-0:07,0:01-0:05,How many squares did the coach step into with both feet?,instance_count,One,Two,Three,Zero,None of the above,14,56,,instance_count,Sports & Fitness,Sports & Fitness,Team Sports,Football,30
fpsbench_000031,1.0.0,test,youtube8m,youtube,l96gOq1EKKc,https://www.youtube.com/watch?v=l96gOq1EKKc,,,162.0,170.0,8.0,164.0,168.0,4.0,2:42-2:50,2:44-2:48,How many times does the player in blue socks step in every square?,instance_count,1,2,3,4,None of the above,4,16,,instance_count,Sports & Fitness,Sports & Fitness,Team Sports,Football,31
fpsbench_000032,1.0.0,test,youtube8m,youtube,fw_tmJPo-AQ,https://www.youtube.com/watch?v=fw_tmJPo-AQ,,,160.0,164.0,4.0,162.0,164.0,2.0,2:40-2:44,2:42-2:44,"How does the drummer move his head, if at all, when he hits the crash cymbal?",state_at_event,He nods,He shakes his head,"He moves his head backwards, then forwards",He does not move his head,None of the above,4,8,,state_at_event,Media & Entertainment,Media & Entertainment,Music,Drums,32
fpsbench_000033,1.0.0,test,youtube8m,youtube,XHqeA5KrxJ8,https://www.youtube.com/watch?v=XHqeA5KrxJ8,,,10.0,15.0,5.0,12.0,13.0,1.0,0:10-0:15,0:12-0:13,What did the driver wearing a JT suit do to the person on his left?,fine_grained_motion,Angrily gestured at them.,Gave them a thumbs up.,Did nothing and started straight ahead.,Bent over and checked their equipment.,None of the above,7,7,,fine_grained_motion,Vehicles,Vehicles,Ground Vehicles,Racing,33
fpsbench_000034,1.0.0,test,youtube8m,youtube,fw_tmJPo-AQ,https://www.youtube.com/watch?v=fw_tmJPo-AQ,,,171.0,175.0,4.0,172.0,174.0,2.0,2:51-2:55,2:52-2:54,"How does the drummer move his head, if at all, when he hits the crash cymbal?",state_at_event,He nods,He shakes his head,"He moves his head backwards, then forwards",He does not move his head,None of the above,4,8,,state_at_event,Media & Entertainment,Media & Entertainment,Music,Drums,34
fpsbench_000035,1.0.0,test,youtube8m,youtube,Cr2ATK6c45Q,https://www.youtube.com/watch?v=Cr2ATK6c45Q,,,12.0,17.0,5.0,15.0,16.0,1.0,0:12-0:17,0:15-0:16,Which description best fits the motion of the skateboard during the trick?,fine_grained_motion,The skateboard stayed flat in the air relative to the ground.,The skateboard was rolled once by 360 degrees.,The skateboard was spun twice.,"The skater spun their body, not the board.",None of the above,7,7,,fine_grained_motion,Sports & Fitness,Sports & Fitness,Fitness & Recreation,Skateboarding,35
fpsbench_000036,1.0.0,test,youtube8m,youtube,riges9z8MNI,https://www.youtube.com/watch?v=riges9z8MNI,,,32.0,38.0,6.0,36.0,37.0,1.0,0:32-0:38,0:36-0:37,Describe the interaction between Yoshi and Donkey Kong.,blink_and_miss,Donkey Kong quickly passed Yoshi in his cart.,Yoshi stayed to the right of Donkey Kong and maintained their position.,Donkey Kong collided with Yoshi.,Donkey Kong stayed behind Yoshi.,None of the above,7,7,,blink_and_miss,Hobbies & Gaming,Hobbies & Gaming,Video Gaming,Video game,36
fpsbench_000037,1.0.0,test,youtube8m,youtube,riges9z8MNI,https://www.youtube.com/watch?v=riges9z8MNI,,,58.0,62.0,4.0,58.0,62.0,4.0,0:58-1:02,0:58-1:02,What happened after Yoshi threw the red shell to the other cart?,blink_and_miss,The cart flipped over.,The cart spun into the wall.,The cart was stopped in its tracks.,The cart spun in circles.,None of the above,15,60,,blink_and_miss,Hobbies & Gaming,Hobbies & Gaming,Video Gaming,Video game,37
fpsbench_000038,1.0.0,test,youtube8m,youtube,chEw_-j_ttw,https://www.youtube.com/watch?v=chEw_-j_ttw,,,15.0,21.0,6.0,19.0,21.0,2.0,0:15-0:21,0:19-0:21,"What other part of the drumkit, if any, does the drummer hit at the same time as he hits the crash cymbal on his left",state_at_event,The snare drum,The hi hat,One of the toms,He does not hit any other part,None of the above,7,14,,state_at_event,Media & Entertainment,Media & Entertainment,Music,Drums,38
fpsbench_000039,1.0.0,test,youtube8m,youtube,OIfH4pgEsSE,https://www.youtube.com/watch?v=OIfH4pgEsSE,,,10.0,18.0,8.0,10.0,16.0,6.0,0:10-0:18,0:10-0:16,How many times does the cat blink?,instance_count,2,3,4,5,None of the above,7,42,,instance_count,Miscellaneous,Animals,Pets,Cat,39
fpsbench_000040,1.0.0,test,youtube8m,youtube,OIfH4pgEsSE,https://www.youtube.com/watch?v=OIfH4pgEsSE,,,100.0,110.0,10.0,106.0,110.0,4.0,1:40-1:50,1:46-1:50,How many times does the cat wave its feet up and down?,repetitive_motion,2,3,4,5,None of the above,8,32,,repetitive_motion,Miscellaneous,Animals,Pets,Cat,40
fpsbench_000041,1.0.0,test,youtube8m,youtube,RTIKhgGXc6Y,https://www.youtube.com/watch?v=RTIKhgGXc6Y,,,32.0,42.0,10.0,32.0,39.0,7.0,0:32-0:42,0:32-0:39,What is the order of the actions leading up to the scored basket?,action_order,"The player with the ball holds it,t hen passes to the running player. That player catches with one hand, dribbles twice, pump fakes, then spins around and lays it up.","The player with the ball holds it, fakes a pass, then passes to the running player. That player catches with one hand, dribbles twice, then spins around and lays it up.","The player with the ball holds it, fakes a pass, then passes to the running player. That player catches with one hand, pump fakes the ball, dribbles twice, then spins around and lays it up.","The player with the ball holds it, then passes to the running player. That player catches with one hand, spins around, dribbles twice, pump fakes, and lays it up for a score.",None of the above,4,28,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,41
fpsbench_000042,1.0.0,test,youtube8m,youtube,chEw_-j_ttw,https://www.youtube.com/watch?v=chEw_-j_ttw,,,35.0,38.0,3.0,36.0,38.0,2.0,0:35-0:38,0:36-0:38,"What other part of the drumkit, if any, does the drummer hit at the same time as he hits the small cymbal?",state_at_event,The snare drum,The hi hat,One of the toms,He does not hit any other part,None of the above,7,14,,state_at_event,Media & Entertainment,Media & Entertainment,Music,Drums,42
fpsbench_000043,1.0.0,test,youtube8m,youtube,6FXwWD5ZWiA,https://www.youtube.com/watch?v=6FXwWD5ZWiA,,,60.0,65.0,5.0,63.0,65.0,2.0,1:00-1:05,1:03-1:05,What is the outcome of the swing?,blink_and_miss,He misses the ball,"He strikes the ball, and it flies to the right of the video","He strikes the ball, and it flies to the left of the video","He strikes the ball, and it flies towards the camera",None of the above,20,40,,blink_and_miss,Sports & Fitness,Sports & Fitness,Team Sports,Cricket,43
fpsbench_000044,1.0.0,test,youtube8m,youtube,tugyFkBipzU,https://www.youtube.com/watch?v=tugyFkBipzU,,,109.0,117.0,8.0,109.0,117.0,8.0,1:49-1:57,1:49-1:57,How many times does the character duck?,repetitive_motion,1,2,3,4,None of the above,4,32,,repetitive_motion,Hobbies & Gaming,Hobbies & Gaming,Video Gaming,Video game,44
fpsbench_000045,1.0.0,test,youtube8m,youtube,IAH19ltbNNY,https://www.youtube.com/watch?v=IAH19ltbNNY,,,25.0,36.0,11.0,27.0,36.0,9.0,0:25-0:36,0:27-0:36,In what order does the character wearing blue execute their moves?,action_order,"jump, punch, flip, punch","jump, flip, punch, kick","kick, spin, flip, punch","punch, duck, spin, block",None of the above,7,63,,action_order,Hobbies & Gaming,Hobbies & Gaming,Video Gaming,Video game,45
fpsbench_000046,1.0.0,test,youtube8m,youtube,IAH19ltbNNY,https://www.youtube.com/watch?v=IAH19ltbNNY,,,100.0,111.0,11.0,100.0,111.0,11.0,1:40-1:51,1:40-1:51,Which of the following best describes the order of the blue character's actions?,action_order,"The blue character begins with a leg sweep, then leaps high into the air around the opponent to punch them. They then do a series of high leg kicks, leap around once more and receive several punches in return.","The blue characters leaps into the air then does a series of high kicks to the opponent. Then, they do a leg sweep and flip over their opponent, and punch them several times.","The blue character leaps, then does a leg sweep. They do a standing kick, then leap behind the opponent and kick them again, after which they receive a barrage of punches.","The blue character leaps into the air then attacks with a leg sweep. They receive several punches, then leap over the opponent once more to land some punches of their own.",None of the above,15,165,,action_order,Hobbies & Gaming,Hobbies & Gaming,Video Gaming,Video game,46
fpsbench_000047,1.0.0,test,youtube8m,youtube,c-lqzCU9He8,https://www.youtube.com/watch?v=c-lqzCU9He8,,,29.0,32.0,3.0,30.0,32.0,2.0,0:29-0:32,0:30-0:32,What is the outcome of the swing?,blink_and_miss,He misses the ball,"He strikes the ball, and it flies to the right of the video","He strikes the ball, and it flies to the left of the video","He strikes the ball, and it flies towards the camera",None of the above,13,26,,blink_and_miss,Sports & Fitness,Sports & Fitness,Team Sports,Cricket,47
fpsbench_000048,1.0.0,test,youtube8m,youtube,G1GLlMG9ZzA,https://www.youtube.com/watch?v=G1GLlMG9ZzA,,,31.0,43.0,12.0,31.0,43.0,12.0,0:31-0:43,0:31-0:43,Which option best describes the order of events while the red and black uniformed players had the ball?,action_order,"The player dribbled forward, doing a step-over, then missed a shot. Separately, the ball came towards another red player in the box, who controlled it and passed to another player, who then missed again.","The player dribbled forward, and passed to their teammate, after which the ball went out for a corner-kick. The ball went to another teammate, who passed it, but resulted in a missed shot.","The player ran forward, receiving a pass then missing a shot for a corner kick. The ball came to another teammate, who headed the ball towards goal but missed.","After dribbling, the player passed to their teammate who did a long pass. The pass came to a teammate, who received the ball and passed it to another teammate, who proceeded to score.",None of the above,5,60,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,48
fpsbench_000049,1.0.0,test,youtube8m,youtube,WmI469YaS44,https://www.youtube.com/watch?v=WmI469YaS44,,,69.0,81.0,12.0,69.0,81.0,12.0,1:09-1:21,1:09-1:21,What best describes the order of the orange team's actions?,action_order,"A player stretches his leg to control the ball, dribbles forward and lays the ball off to a teammate, who stretches for it. They lose the ball but an orange player quickly recovers it , spins around,  then passes it backwads to a teammate who scores a long-range goal.","A player stretches out to contorl the ball, then attempts to dribble around a defender. He then passes the ball backwards to a teammate, who in turn lays it off for another teammate to fire a shot and score a long-range goal.","A player receives the ball, then dribbles around two defenders. He passes it backwards to a teammate who scores from distance.","A player passes the ball to his teammate, but it is intercepted by the opposing team. They in turn dribble forward, but lose the ball to the orange team, who immediately recover, pass the ball into the box and score a close-range goal.",None of the above,4,48,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,49
fpsbench_000050,1.0.0,test,youtube8m,youtube,e_QCblw9wH8,https://www.youtube.com/watch?v=e_QCblw9wH8,,,5.0,16.0,11.0,7.0,12.0,5.0,0:05-0:16,0:07-0:12,What best describes the sequence of the highlighted player's actions after the ball is snapped?,action_order,"He shuffles right, engages with a lineman, sheds a block then stops the runner with a big tackle.","He blocks a lineman, then tackles him for a big loss.",He shuffles right then stops the ball carrier.,He sprints to the ball carrier in the backfiedl and stops him for a loss.,None of the above,7,35,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,50
fpsbench_000051,1.0.0,test,youtube8m,youtube,e_QCblw9wH8,https://www.youtube.com/watch?v=e_QCblw9wH8,,,121.0,131.0,10.0,122.0,129.0,7.0,2:01-2:11,2:02-2:09,What best describes the sequence of the highlighted player's actions after the ball is snapped?,action_order,"They wait for the ball carrier to move towards the sideline and into the other player, after which they go for a tackle.",They charge towards the ball carrier and make a large tackle for loss.,"They backpedal, waiting for the ball carrier to come, then strip the ball for a fumble.","They immediately engage with the opposing players, hodling them in place while the ball carrier is tackled.",None of the above,5,35,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,51
fpsbench_000052,1.0.0,test,youtube8m,youtube,kkrpdkcdnSg,https://www.youtube.com/watch?v=kkrpdkcdnSg,,,58.0,70.0,12.0,58.0,70.0,12.0,0:58-1:10,0:58-1:10,What best describes the player with the ball's order of actions?,action_order,"They run towards the scrum, then cut right towards the sideline. They run theough a gap and make a large gain, finishing the play with a touchdown.","They receive the ball and sprint around the scrum, running past all the other players for a touchdown.","They catch a short pass from the quarterback, cut through the pile and run the ball for a large gain and touchdwon,","They pass the ball to another player, who runs the ball for a touchdown.",None of the above,9,108,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,52
fpsbench_000053,1.0.0,test,youtube8m,youtube,an2W53AZsX0,https://www.youtube.com/watch?v=an2W53AZsX0,,,7.0,16.0,9.0,7.0,16.0,9.0,0:07-0:16,0:07-0:16,What best describes the player hilghited with arrow's order of actions in the clip?,action_order,"They backpedal slowly, waiting for the quarterback to throw. They engage the receiver, leap into the air and make an acrobatic interception.","They backpedal, watching the quarterback. The QB makes an overthrow, and the player easily intercepts the pass.",They closely cover the wide receiver. making a leaping catch to intercept the pass.,"They closely cover the receiver, breaking up the pass and leading to an incompletion.",None of the above,5,45,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,53
fpsbench_000054,1.0.0,test,youtube8m,youtube,0aNwPDDxDR0,https://www.youtube.com/watch?v=0aNwPDDxDR0,,,9.0,19.0,10.0,13.0,19.0,6.0,0:09-0:19,0:13-0:19,What best describes the quarterback's order of actions in the clip?,action_order,"They receive the snap, drop back, then roll to the right and immediately complete a short pass to their teammate.","They receive the snap, handing the ball off to a runningback who is then tackled for a loss.","They receive the snap, drop back and roll out to their right. A lineman then sacks them for a loss.","They receive the snap, and run to the right carrying the ball, but run into a defender who makes a sack.",None of the above,6,36,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Football,54
fpsbench_000055,1.0.0,test,youtube8m,youtube,fIUgqCqmrIE,https://www.youtube.com/watch?v=fIUgqCqmrIE,,,31.0,42.0,11.0,31.0,42.0,11.0,0:31-0:42,0:31-0:42,Which best describes the sequence of actions taken by the blue team?,action_order,"The blue team threw the ball inbounds, then passed backwards. They ran to the sideline, passed backwards and were then tackled","The blue team ran towards the sideline, threw the ball inbounds, then passed backwards a few times. They then did a long run forward, passed backwards and were tackled.","The blue team ran towards the sideline, then thre the ball in bounds. They did a long run forward, passed backward a few times, and were then tackled.","The blue team threw the ball in, passed it backwards a few times, and then were tackled while running towards the sideline.",None of the above,5,55,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Rugby football,55
